2024/01/21-05:00:22.899581,1705780822.899470243,111,1,0,3,23,0,0,2,0,2,0
2024/01/21-05:00:22.916319,1705780822.916193597,126,2,0,1,24,0,0,2,0,2,0
2024/01/21-05:00:22.933242,1705780822.933130247,112,2,0,2,23,0,0,1,0,1,0
2024/01/21-05:00:22.950215,1705780822.950078281,136,1,0,2,24,0,0,2,0,2,0
2024/01/21-05:00:22.966897,1705780822.966786410,111,1,0,2,23,0,0,1,0,1,0
2024/01/21-05:00:22.983585,1705780822.983480501,104,2,0,2,23,0,0,2,0,2,0
2024/01/21-05:00:23.287,1705780823.000168725,118,1,0,2,24,0,0,2,0,1,0
2024/01/21-05:00:23.17209,1705780823.017085121,124,2,0,2,23,0,0,0,0,1,0
2024/01/21-05:00:23.34206,1705780823.034062977,143,1,0,1,24,0,0,0,0,2,0
2024/01/21-05:00:23.51200,1705780823.051126459,73,2,0,3,24,0,0,0,0,2,0
2024/01/21-05:00:23.67875,1705780823.067772150,103,2,0,1,23,0,0,0,0,1,0
2024/01/21-05:00:23.84608,1705780823.084458069,150,1,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.101517,1705780823.101433132,84,2,0,1,24,0,0,0,0,1,0
2024/01/21-05:00:23.118456,1705780823.118332906,123,1,0,2,24,0,0,0,0,2,0
2024/01/21-05:00:23.135397,1705780823.135281917,115,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.152111,1705780823.151979221,132,2,0,2,24,0,0,0,0,2,0
2024/01/21-05:00:23.168770,1705780823.168684067,86,2,0,1,23,0,0,0,0,1,0
2024/01/21-05:00:23.185491,1705780823.185354832,136,1,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.202409,1705780823.202312434,97,1,0,2,24,0,0,0,0,1,0
2024/01/21-05:00:23.219364,1705780823.219234417,129,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.236037,1705780823.235947784,89,2,0,2,24,0,0,0,0,1,0
2024/01/21-05:00:23.252726,1705780823.252620923,105,1,0,1,23,0,0,0,0,2,0
2024/01/21-05:00:23.269650,1705780823.269547166,103,2,0,2,24,0,0,0,0,1,0
2024/01/21-05:00:23.286607,1705780823.286475365,132,1,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.303259,1705780823.303190129,69,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.319967,1705780823.319842595,125,2,0,2,24,0,0,0,0,1,0
2024/01/21-05:00:23.336689,1705780823.336550724,138,1,0,1,23,0,0,0,0,2,0
2024/01/21-05:00:23.353623,1705780823.353511050,112,2,0,2,24,0,0,0,0,1,0
2024/01/21-05:00:23.370541,1705780823.370451471,89,1,0,2,23,0,0,0,0,1,0
2024/01/21-05:00:23.387217,1705780823.387112876,104,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.403861,1705780823.403788808,72,1,0,2,24,0,0,0,0,2,0
2024/01/21-05:00:23.420478,1705780823.420427026,51,2,0,1,23,0,0,0,0,1,0
2024/01/21-05:00:23.437097,1705780823.437042965,54,1,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.454221,1705780823.454086123,135,1,0,2,24,0,0,0,0,1,0
2024/01/21-05:00:23.471217,1705780823.471099388,117,2,0,2,24,0,0,0,0,2,0
2024/01/21-05:00:23.487922,1705780823.487789568,132,2,0,2,23,0,0,0,0,1,0
2024/01/21-05:00:23.504547,1705780823.504493996,53,1,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.521470,1705780823.521356893,114,2,0,1,24,0,0,0,0,2,0
2024/01/21-05:00:23.538370,1705780823.538288794,81,1,0,2,23,0,0,1,0,1,0
2024/01/21-05:00:23.555327,1705780823.555185774,141,2,0,2,24,0,0,1,0,2,0
2024/01/21-05:00:23.572001,1705780823.571911503,89,1,0,2,23,0,0,0,0,1,0
2024/01/21-05:00:23.588644,1705780823.588570883,73,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.605320,1705780823.605215666,105,1,0,2,24,0,0,2,0,0,0
2024/01/21-05:00:23.622204,1705780823.622131573,73,1,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.638909,1705780823.638788159,121,2,0,2,23,0,0,0,0,1,0
2024/01/21-05:00:23.655584,1705780823.655495380,89,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.672273,1705780823.672168519,104,1,0,2,24,0,0,1,0,2,0
2024/01/21-05:00:23.688977,1705780823.688856883,120,2,0,1,23,0,0,0,0,1,0
2024/01/21-05:00:23.705894,1705780823.705782148,112,1,0,2,24,0,0,0,0,2,0
2024/01/21-05:00:23.722816,1705780823.722745827,70,2,0,2,23,0,0,1,0,1,0
2024/01/21-05:00:23.739506,1705780823.739398153,108,2,0,2,24,0,0,0,0,2,0
2024/01/21-05:00:23.756157,1705780823.756089310,68,1,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.772863,1705780823.772741706,122,2,0,1,23,0,0,0,0,1,0
2024/01/21-05:00:23.789854,1705780823.789750711,104,1,0,2,24,0,0,0,0,2,0
2024/01/21-05:00:23.806500,1705780823.806429577,71,2,0,2,23,0,0,0,0,1,0
2024/01/21-05:00:23.823201,1705780823.823073382,127,1,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.839929,1705780823.839785353,143,2,0,2,24,0,0,2,0,1,0
2024/01/21-05:00:23.856657,1705780823.856530498,126,1,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.873317,1705780823.873241909,75,2,0,2,23,0,0,0,0,1,0
2024/01/21-05:00:23.890232,1705780823.890129880,102,1,0,1,24,0,0,0,0,2,0
2024/01/21-05:00:23.906873,1705780823.906805882,67,2,0,2,23,0,0,1,0,1,0
2024/01/21-05:00:23.923595,1705780823.923455414,139,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.940305,1705780823.940178699,126,1,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:23.957204,1705780823.957132390,72,2,0,1,24,0,0,0,0,2,0
2024/01/21-05:00:23.974195,1705780823.974108430,87,1,0,2,24,0,0,0,0,1,0
2024/01/21-05:00:23.991225,1705780823.991114642,110,2,0,3,24,0,0,0,0,1,0
2024/01/21-05:00:24.7904,1705780824.007797209,106,1,0,1,23,0,0,1,0,2,0
2024/01/21-05:00:24.24552,1705780824.024488367,64,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:24.41443,1705780824.041369772,73,1,0,2,24,0,0,0,0,1,0
2024/01/21-05:00:24.58367,1705780824.058261025,106,2,0,1,23,0,0,1,0,1,0
2024/01/21-05:00:24.75257,1705780824.075183497,74,1,0,3,24,0,0,0,0,2,0
2024/01/21-05:00:24.91947,1705780824.091842039,104,2,0,2,23,0,0,0,0,1,0
2024/01/21-05:00:24.108644,1705780824.108519438,124,1,0,2,23,0,0,1,0,1,0
2024/01/21-05:00:24.125316,1705780824.125216322,99,1,0,1,24,0,0,0,0,2,0
2024/01/21-05:00:24.142237,1705780824.142125454,111,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:24.159231,1705780824.159130339,100,2,0,2,24,0,0,1,0,2,0
2024/01/21-05:00:24.175939,1705780824.175814373,125,2,0,2,23,0,0,0,0,1,0
2024/01/21-05:00:24.192611,1705780824.192523899,87,1,0,1,24,0,0,0,0,2,0
2024/01/21-05:00:24.209260,1705780824.209183419,77,2,0,2,23,0,0,0,0,1,0
2024/01/21-05:00:24.225892,1705780824.225832043,59,1,0,2,23,0,0,1,0,2,0
2024/01/21-05:00:24.242876,1705780824.242762966,113,2,0,1,24,0,0,0,0,1,0
2024/01/21-05:00:24.259583,1705780824.259461666,121,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:24.276290,1705780824.276168468,121,1,0,2,23,0,0,1,0,2,0
2024/01/21-05:00:24.293274,1705780824.293161969,112,1,0,2,24,0,0,0,0,1,0
2024/01/21-05:00:24.309963,1705780824.309862485,101,2,0,2,24,0,0,0,0,2,0
2024/01/21-05:00:24.326618,1705780824.326537091,81,2,0,1,23,0,0,1,0,1,0
2024/01/21-05:00:24.343320,1705780824.343203594,117,1,0,3,23,0,0,0,0,2,0
2024/01/21-05:00:24.359995,1705780824.359907044,88,2,0,1,23,0,0,0,0,1,0
2024/01/21-05:00:24.376708,1705780824.376579275,129,1,0,2,24,0,0,0,0,2,0
2024/01/21-05:00:24.393611,1705780824.393524445,86,2,0,1,23,0,0,0,0,2,0
2024/01/21-05:00:24.410517,1705780824.410433298,83,2,0,2,24,0,0,0,0,1,0
2024/01/21-05:00:24.427230,1705780824.427099383,131,1,0,3,23,0,0,1,0,2,0
2024/01/21-05:00:24.443917,1705780824.443817429,100,2,0,1,23,0,0,0,0,1,0
2024/01/21-05:00:24.460606,1705780824.460504327,102,1,0,2,24,0,0,0,0,2,0
2024/01/21-05:00:24.477532,1705780824.477425891,106,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:24.494453,1705780824.494351226,102,2,0,1,24,0,0,1,0,1,0
2024/01/21-05:00:24.511158,1705780824.511038543,119,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:00:24.527817,1705780824.527731586,86,1,0,2,23,0,0,1,0,1,0
2024/01/21-05:00:24.544443,1705780824.544388731,54,1,0,2,24,0,0,1,0,2,0
2024/01/21-05:00:24.561370,1705780824.561250651,119,1,0,2,23,0,0,0,0,1,0
2024/01/21-05:00:24.578261,1705780824.578191142,70,2,0,2,24,0,0,0,0,1,0
2024/01/21-05:00:24.595265,1705780824.595143925,121,2,0,2,24,0,0,0,0,2,0
2024/01/21-05:00:24.611967,1705780824.611849749,117,1,0,1,23,0,0,0,0,2,0
