2024/01/21-05:54:35.159156,1705784075.159001390,155,1,0,1,21,0,0,2,0,2,0
2024/01/21-05:54:35.174924,1705784075.174797951,126,2,0,1,22,0,0,2,0,1,0
2024/01/21-05:54:35.190683,1705784075.190569368,114,1,0,2,22,0,0,1,0,1,0
2024/01/21-05:54:35.206348,1705784075.206287288,60,2,0,2,22,0,0,2,0,2,0
2024/01/21-05:54:35.222059,1705784075.221983417,75,1,0,1,22,0,0,1,0,2,0
2024/01/21-05:54:35.237823,1705784075.237688136,135,2,0,2,22,0,0,2,0,1,0
2024/01/21-05:54:35.253357,1705784075.253207357,149,1,0,2,21,0,0,2,0,1,0
2024/01/21-05:54:35.269111,1705784075.268993372,118,1,0,2,22,0,0,1,0,2,0
2024/01/21-05:54:35.284843,1705784075.284722676,121,2,0,1,22,0,0,2,0,1,0
2024/01/21-05:54:35.300670,1705784075.300608144,62,2,0,2,23,0,0,1,0,2,0
2024/01/21-05:54:35.316187,1705784075.316054521,133,1,0,2,21,0,0,2,0,1,0
2024/01/21-05:54:35.331682,1705784075.331570389,111,1,0,2,22,0,0,2,0,2,0
2024/01/21-05:54:35.347364,1705784075.347281255,82,2,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:35.362854,1705784075.362747536,107,1,0,1,21,0,0,0,0,1,0
2024/01/21-05:54:35.378681,1705784075.378581811,99,2,0,2,22,0,0,1,0,2,0
2024/01/21-05:54:35.394368,1705784075.394295051,73,1,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:35.410056,1705784075.409993555,62,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:35.425582,1705784075.425437557,145,1,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:35.441359,1705784075.441226924,132,1,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:35.456860,1705784075.456745656,114,2,0,2,21,0,0,0,0,1,0
2024/01/21-05:54:35.472671,1705784075.472612687,58,1,0,2,22,0,0,1,0,1,0
2024/01/21-05:54:35.488180,1705784075.488056689,123,2,0,1,22,0,0,0,0,2,0
2024/01/21-05:54:35.503671,1705784075.503565014,106,1,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:35.519336,1705784075.519263099,73,2,0,2,21,0,0,0,0,1,0
2024/01/21-05:54:35.535113,1705784075.534958809,154,1,0,1,23,0,0,0,0,1,0
2024/01/21-05:54:35.550872,1705784075.550727782,144,1,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:35.566369,1705784075.566257899,111,2,0,1,21,0,0,0,0,1,0
2024/01/21-05:54:35.582119,1705784075.582010878,108,1,0,2,22,0,0,1,0,1,0
2024/01/21-05:54:35.597737,1705784075.597580734,157,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:35.613462,1705784075.613351174,111,1,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:35.629205,1705784075.629094656,111,2,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:35.644749,1705784075.644611572,137,2,0,2,21,0,0,0,0,2,0
2024/01/21-05:54:35.660213,1705784075.660134564,78,1,0,1,22,0,0,2,0,1,0
2024/01/21-05:54:35.675708,1705784075.675596097,112,2,0,2,22,0,0,1,0,2,0
2024/01/21-05:54:35.691399,1705784075.691262892,136,1,0,2,22,0,0,2,0,2,0
2024/01/21-05:54:35.707146,1705784075.707022018,124,2,0,1,22,0,0,2,0,1,0
2024/01/21-05:54:35.722909,1705784075.722761239,148,1,0,1,22,0,0,1,0,1,0
2024/01/21-05:54:35.738737,1705784075.738592720,145,2,0,2,22,0,0,1,0,2,0
2024/01/21-05:54:35.754430,1705784075.754339973,90,1,0,2,22,0,0,2,0,2,0
2024/01/21-05:54:35.769949,1705784075.769812820,136,2,0,1,21,0,0,2,0,1,0
2024/01/21-05:54:35.785676,1705784075.785584238,91,2,0,2,22,0,0,1,0,2,0
2024/01/21-05:54:35.801364,1705784075.801291262,72,1,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:35.817121,1705784075.816997378,124,1,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:35.832878,1705784075.832750847,127,2,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:35.848765,1705784075.848628633,136,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:35.864295,1705784075.864150298,144,1,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:35.879799,1705784075.879680834,118,2,0,2,22,0,0,1,0,2,0
2024/01/21-05:54:35.895394,1705784075.895255858,138,1,0,1,21,0,0,0,0,2,0
2024/01/21-05:54:35.911140,1705784075.911023993,116,2,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:35.926876,1705784075.926755113,121,1,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:35.942751,1705784075.942604613,146,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:54:35.958508,1705784075.958365205,142,1,0,1,22,0,0,0,0,2,0
2024/01/21-05:54:35.974253,1705784075.974123354,130,2,0,2,22,0,0,1,0,1,0
2024/01/21-05:54:35.990009,1705784075.989891838,117,1,0,2,21,0,0,1,0,1,0
2024/01/21-05:54:36.5763,1705784076.005635319,127,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:54:36.21429,1705784076.021344788,85,1,0,1,21,0,0,0,0,2,0
2024/01/21-05:54:36.37197,1705784076.037051323,146,2,0,3,22,0,0,0,0,1,0
2024/01/21-05:54:36.52956,1705784076.052843624,112,1,0,2,22,0,0,1,0,1,0
2024/01/21-05:54:36.68759,1705784076.068642419,116,1,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.84269,1705784076.084146974,122,2,0,1,21,0,0,0,0,1,0
2024/01/21-05:54:36.99800,1705784076.099654462,146,1,0,2,22,0,0,1,0,1,0
2024/01/21-05:54:36.115382,1705784076.115261613,121,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.131112,1705784076.131036313,76,1,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:36.146852,1705784076.146727763,124,1,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:36.162758,1705784076.162609879,149,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.178509,1705784076.178361392,148,1,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:36.194039,1705784076.193895769,143,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.209490,1705784076.209423510,66,1,0,1,21,0,0,0,0,1,0
2024/01/21-05:54:36.225229,1705784076.225122992,106,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.240912,1705784076.240842308,70,1,0,1,22,0,0,0,0,2,0
2024/01/21-05:54:36.256749,1705784076.256645504,103,2,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:36.272267,1705784076.272132947,134,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.287760,1705784076.287652657,108,1,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:36.303379,1705784076.303275522,104,1,0,1,21,0,0,1,0,2,0
2024/01/21-05:54:36.319147,1705784076.319007200,140,2,0,3,22,0,0,0,0,1,0
2024/01/21-05:54:36.334655,1705784076.334532148,123,1,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:36.350402,1705784076.350274163,128,1,0,1,22,0,0,1,0,2,0
2024/01/21-05:54:36.366169,1705784076.366034197,135,2,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:36.381945,1705784076.381800866,144,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.397473,1705784076.397331960,141,1,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:36.412927,1705784076.412859212,68,2,0,2,21,0,0,1,0,2,0
2024/01/21-05:54:36.428765,1705784076.428656681,108,1,0,2,23,0,0,0,0,1,0
2024/01/21-05:54:36.444217,1705784076.444149851,68,2,0,1,21,0,0,0,0,2,0
2024/01/21-05:54:36.459703,1705784076.459603771,99,1,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:36.475360,1705784076.475295220,64,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.491121,1705784076.490982340,139,1,0,1,22,0,0,2,0,2,0
2024/01/21-05:54:36.506648,1705784076.506506799,141,2,0,1,21,0,0,1,0,1,0
2024/01/21-05:54:36.522182,1705784076.522033144,149,1,0,2,22,0,0,1,0,1,0
2024/01/21-05:54:36.537695,1705784076.537568917,126,1,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.553432,1705784076.553312887,119,2,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:36.569182,1705784076.569067683,115,2,0,1,22,0,0,0,0,2,0
2024/01/21-05:54:36.584914,1705784076.584808860,105,1,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:36.600365,1705784076.600299725,65,2,0,1,21,0,0,0,0,2,0
2024/01/21-05:54:36.615846,1705784076.615747429,98,1,0,2,21,0,0,1,0,2,0
2024/01/21-05:54:36.631417,1705784076.631278592,139,2,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:36.646937,1705784076.646801026,136,1,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:36.662745,1705784076.662630203,115,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.678490,1705784076.678359506,130,1,0,1,22,0,0,0,0,2,0
2024/01/21-05:54:36.694224,1705784076.694124708,99,2,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:36.709725,1705784076.709609917,115,2,0,2,21,0,0,0,0,2,0
2024/01/21-05:54:36.725213,1705784076.725111188,102,1,0,1,22,0,0,1,0,1,0
2024/01/21-05:54:36.740886,1705784076.740825756,61,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.756415,1705784076.756269758,146,1,0,1,21,0,0,0,0,2,0
2024/01/21-05:54:36.771947,1705784076.771800363,147,2,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:36.787478,1705784076.787331876,146,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.803204,1705784076.803107554,96,1,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:36.818727,1705784076.818587454,139,1,0,1,21,0,0,1,0,2,0
2024/01/21-05:54:36.834181,1705784076.834111005,70,2,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:36.849936,1705784076.849800500,136,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.865740,1705784076.865630584,110,1,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:36.881499,1705784076.881359469,139,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:36.897239,1705784076.897121807,117,1,0,1,22,0,0,0,0,2,0
2024/01/21-05:54:36.912730,1705784076.912626431,103,2,0,2,21,0,0,0,0,1,0
2024/01/21-05:54:36.928206,1705784076.928130497,76,2,0,2,22,0,0,2,0,2,0
2024/01/21-05:54:36.943725,1705784076.943591470,134,2,0,2,21,0,0,1,0,1,0
2024/01/21-05:54:36.959352,1705784076.959284386,68,1,0,1,22,0,0,1,0,2,0
2024/01/21-05:54:36.974823,1705784076.974735512,87,1,0,1,21,0,0,2,0,1,0
2024/01/21-05:54:36.990721,1705784076.990647451,73,2,0,2,23,0,0,0,0,2,0
2024/01/21-05:54:37.6435,1705784077.006326957,108,2,0,2,21,0,0,0,0,1,0
2024/01/21-05:54:37.21929,1705784077.021820686,109,1,0,1,22,0,0,0,0,2,0
2024/01/21-05:54:37.37752,1705784077.037637012,115,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:37.53460,1705784077.053358284,102,1,0,1,22,0,0,1,0,1,0
2024/01/21-05:54:37.69228,1705784077.069092756,135,2,0,2,22,0,0,1,0,2,0
2024/01/21-05:54:37.84970,1705784077.084853837,116,2,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:37.100805,1705784077.100681966,123,1,0,1,22,0,0,0,0,2,0
2024/01/21-05:54:37.116323,1705784077.116190292,133,2,0,2,21,0,0,0,0,2,0
2024/01/21-05:54:37.131837,1705784077.131708535,129,2,0,1,21,0,0,0,0,1,0
2024/01/21-05:54:37.147311,1705784077.147222588,89,1,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:37.163059,1705784077.162945257,114,1,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:37.178793,1705784077.178689227,104,1,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:37.194549,1705784077.194407146,141,2,0,1,22,0,0,0,0,1,0
2024/01/21-05:54:37.210235,1705784077.210162990,72,2,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:37.225760,1705784077.225617398,142,1,0,2,21,0,0,0,0,1,0
2024/01/21-05:54:37.241438,1705784077.241374568,63,1,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:37.257132,1705784077.257068812,63,2,0,1,22,0,0,0,0,2,0
2024/01/21-05:54:37.272868,1705784077.272745106,123,1,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:37.288776,1705784077.288687844,88,1,0,2,22,0,0,0,0,2,0
2024/01/21-05:54:37.304286,1705784077.304159713,126,2,0,2,22,0,0,0,0,1,0
2024/01/21-05:54:37.319735,1705784077.319669016,66,2,0,1,21,0,0,0,0,2,0
