2023/12/31-05:46:09.416,1703969169.000340601,75,0,0,0,1,14,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.10679,1703969169.010528279,151,0,0,0,1,16,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.20873,1703969169.020764147,108,0,0,0,1,15,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.31296,1703969169.030955665,341,0,0,0,2,15,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.41500,1703969169.041386879,113,0,0,0,0,16,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.51729,1703969169.051581681,148,0,0,0,2,15,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.61925,1703969169.061813777,112,0,0,0,0,15,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.72154,1703969169.072006693,147,0,0,0,2,16,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.82356,1703969169.082239278,116,0,0,0,0,15,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.92592,1703969169.092439667,152,0,0,0,2,15,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.102730,1703969169.102674208,56,0,0,0,0,16,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.112893,1703969169.112810692,82,0,0,0,2,15,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.123284,1703969169.122974204,309,0,0,0,1,15,0,0,1,0,0,0,11340940
2023/12/31-05:46:09.133513,1703969169.133378180,135,0,0,0,1,16,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.143727,1703969169.143594213,133,0,0,0,1,15,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.153944,1703969169.153809757,134,0,0,0,1,15,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.164169,1703969169.164023905,145,0,0,0,1,15,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.174395,1703969169.174251322,144,0,0,0,1,16,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.184547,1703969169.184478250,69,0,0,0,1,15,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.194782,1703969169.194631356,151,0,0,0,1,15,0,0,0,0,0,0,11340940
2023/12/31-05:46:09.204991,1703969169.204862964,128,0,0,0,1,16,0,0,0,0,0,0,11340940
